,Lithium,Cobalt,Nickel,Graphite,Manganese
2020-07-31 15:55:58.925593,0.0,0.0,0.0,0.0,0.0
2020-08-31 15:55:58.925593,-0.9913215058559133,-0.9426359066552759,-2.8281623643842013,-1.7643151128325596,-0.366841103667237
2020-09-30 15:55:58.925593,1.9179917703193494,-5.524375688014615,1.1640288285336364,-3.9174301150274093,0.811289314397845
2020-10-31 15:55:58.925593,9.373445013575576,-10.233821641284734,-3.1916422401837563,-3.038327608866409,2.9125877168194814
2020-11-30 15:55:58.925593,7.764816615782566,-7.495860482238181,-1.5840704532285144,-3.5201549527094977,-0.25788258528675057
2020-12-31 15:55:58.925593,6.1799358545049365,-2.6625560883741684,4.7847854135760315,-2.1906617345592516,-1.1717728177338849
2021-01-31 15:55:58.925593,14.24543181950073,-3.137602223013225,1.5662065399673075,-1.3138252256550298,-2.4242854772438593
2021-02-28 15:55:58.925593,18.28649112531002,0.5568570909491921,-0.26086103161113705,-1.5069124491038255,-4.09607271603668
2021-03-31 15:55:58.925593,15.15500776266132,1.8103426603534478,-0.06242593005355568,-3.224225549104476,0.06005401921322928
2021-04-30 15:55:58.925593,17.933468040915912,-1.0204725558996985,-1.6718475683931033,-6.204623703205215,0.9930682728865214
2021-05-31 15:55:58.925593,14.847044853548486,0.2123990393559927,-6.344391827424367,-7.089142150379024,-2.271239663840452
2021-06-30 15:55:58.925593,11.828119424092097,6.177187606709622,-6.245408222489557,-5.544222646464359,-0.10688491597443672
2021-07-31 15:55:58.925593,12.845544355860362,5.812676908464898,-9.32703834499079,-5.187002714574174,5.112920422319878
2021-08-31 15:55:58.925593,1.7117501871066532,12.223416899829044,-8.129450457553222,-7.596653762104266,7.741966055260052
2021-09-30 15:55:58.925593,-7.3656056471472215,0.23910018652741893,-10.755361296946763,-7.322805494158691,3.5632747999858827
2021-10-31 15:55:58.925593,6.5806578586787845,22.709235063840527,10.799799296031898,10.847257067954462,21.394209243986495
2021-11-30 15:55:58.925593,16.78932219246192,42.29492982740908,25.151597153661776,26.016428410145576,44.9012467216239
2021-12-31 15:55:58.925593,34.402262357516,59.44142132915617,40.7014206391614,43.569156786482985,61.61564889587721
