,Battery_Cost,Government_Incentives,Energy_Price_Ratio,Manufacturing_Scale,Raw_Material_Prices,Price_Parity_Index
2020-07-31 15:55:58.925593,0.36568407666258246,0.32483570765056163,0.6856247728646413,0.21582063894086095,0.42825081143908306,30.43934747173212
2020-08-31 15:55:58.925593,0.3538962833497687,0.30156136121262717,0.6893454849373736,0.19367665768376627,0.26818052770814044,30.849107776865964
2020-09-30 15:55:58.925593,0.35592170637169174,0.3493335794474075,0.6566404592543954,0.251784699778044,0.2488324565655805,35.86110663530531
2020-10-31 15:55:58.925593,0.3566146532907748,0.4015752216339606,0.6488595639894442,0.20755619908313744,0.4048618948150933,35.84984668548
2020-11-30 15:55:58.925593,0.3545408438095447,0.322190636348579,0.7040367916209784,0.2591947689946495,0.3321945652769596,32.42258736174683
2020-12-31 15:55:58.925593,0.36507500030244255,0.3306660335084732,0.7152634720435653,0.30313114641450467,0.43647504971165174,31.977764577040872
2021-01-31 15:55:58.925593,0.3715317703603331,0.42980809840248824,0.6673312217763188,0.2513757141753523,0.41885553281768756,36.582905672976054
2021-02-28 15:55:58.925593,0.3768277837665676,0.39769377035595055,0.6945127665977776,0.27172489286557167,0.36954489250088035,34.79402265313676
2021-03-31 15:55:58.925593,0.37126303605991856,0.34432289087274387,0.670171114649734,0.296908281539041,0.2865836642530781,35.0493506874498
2021-04-30 15:55:58.925593,0.36577611446447345,0.4033991886199762,0.6348836954974395,0.29671014793462513,0.21429139199588698,40.03818725054201
2021-05-31 15:55:58.925593,0.3495589324251352,0.3615748780712413,0.6599944105381338,0.2876307991752875,0.30490743721843305,37.173424035303626
2021-06-30 15:55:58.925593,0.351494681618143,0.36993385130453804,0.6902088936041485,0.33187973407239174,0.43713456105049026,36.33294002781246
2021-07-31 15:55:58.925593,0.34910935666518217,0.413793028832539,0.6379082696741591,0.3211268070814101,0.37051873107820255,40.709533531673486
2021-08-31 15:55:58.925593,0.3357453991486253,0.3145054792925338,0.6808376147591659,0.3637091367482968,0.21117152127742647,38.08557061484584
2021-09-30 15:55:58.925593,0.29775495453177536,0.3323981761709585,0.5502212061993416,0.34771321023057816,0.31507304711689355,44.711095491242126
2021-10-31 15:55:58.925593,0.40219493693014197,0.399004267605748,0.6483858886905787,0.408964789795266,0.44072667490302564,38.02502499402697
2021-11-30 15:55:58.925593,0.48646009859398404,0.38495166432226186,0.6212554798437553,0.3741654426278515,0.3980743549738707,32.42740459630062
2021-12-31 15:55:58.925593,0.5796455898378856,0.4597801632399332,0.6045891015199223,0.39525368493012375,0.5950181004324384,29.277247485889518
2022-01-31 15:55:58.925593,0.669186753799609,0.40714116910529535,0.6112273995672515,0.42982966638129166,0.675007625644209,21.129209961103697
2022-02-28 15:55:58.925593,0.7143840954357912,0.39040176408577776,0.5437627630704478,0.4008064424848802,0.6000870656527288,19.829892589348056
2022-03-31 15:55:58.925593,0.8191478353591293,0.5427739638698065,0.5917149281106373,0.4418373342853029,0.8549265713939576,17.137231146015086
2022-04-30 15:55:58.925593,0.9194452686914469,0.4666772866705885,0.6039337161284032,0.4752953974585299,0.9755237213282704,6.626680255455854
2022-05-31 15:55:58.925593,1.0,0.48981708820049785,0.6324724145625844,0.42886728446131783,1.0,0.0
2022-06-30 15:55:58.925593,0.2377623244913923,0.42367784492661525,0.5675027409094178,0.47657403310284946,0.3431425296948826,55.350055571568156
