,TSLA,GM,F,RIVN,LCID
2020-07-31 15:53:21.463781,0.0,0.0,0.0,0.0,0.0
2020-08-03 15:53:21.463781,1.0992852029337419,0.14223249772313817,4.093071333795795,-1.9406122406895987,-0.32144826205687815
2020-08-04 15:53:21.463781,4.607338347063528,1.6752866390224774,7.01309765956275,-6.468005243938613,-0.687962622998517
2020-08-05 15:53:21.463781,11.001181190079778,3.1522001087999296,6.106563682053512,-5.463999317711532,-3.4899743695654184
2020-08-06 15:53:21.463781,11.826087018723207,6.347622262327057,7.201276723592476,-4.451989887087282,3.9909983234719837
2020-08-07 15:53:21.463781,12.634619497923417,8.631287861964342,8.70953211333747,-0.9842962443419534,5.491124390915059
2020-08-10 15:53:21.463781,19.639786540077342,10.116738287438288,11.551979735557039,4.200748429548429,6.099916704134145
2020-08-11 15:53:21.463781,24.102840252848146,13.012604072091861,14.604366814241088,5.373088010077676,4.041964392345676
2020-08-12 15:53:21.463781,24.041031493934973,16.94682204316116,14.460256428653251,14.719780902070223,16.268428982021167
2020-08-13 15:53:21.463781,27.773467052292066,19.5165426442667,16.189224501652923,17.287328149455526,13.375737314984582
2020-08-14 15:53:21.463781,27.68814472649259,21.126970950899015,18.807315714472917,17.17876045974489,13.126897149555772
2020-08-17 15:53:21.463781,27.572197796772222,20.304588528260513,23.867361659096108,11.043123753028272,16.247502312269766
2020-08-18 15:53:21.463781,30.17855412810604,19.918941395353997,27.23627259927852,11.279933522005003,20.194209337700684
2020-08-19 15:53:21.463781,24.292707672725335,20.899466462620087,30.893582731150147,11.166881032050568,25.778810019883135
2020-08-20 15:53:21.463781,19.365462110379216,21.31005456018622,32.765427166334014,16.874788925392824,35.389597344145976
2020-08-21 15:53:21.463781,18.830875828721872,22.481739482979314,38.20963250293923,20.500727597712242,39.468797458842666
2020-08-24 15:53:21.463781,16.655124429756917,24.099267189852757,41.055523105179326,16.209848328731425,35.930304801312786
2020-08-25 15:53:21.463781,19.20294874438746,26.610972917105634,40.31036812119923,18.414243269157858,36.30988857470152
2020-08-26 15:53:21.463781,17.365825450968032,28.001574855481735,45.97970047259656,23.036341198373012,39.3976767235235
2020-08-27 15:53:21.463781,13.744368195988322,30.471483082861006,49.77291564379775,32.086033383946265,51.225785409296584
2020-08-28 15:53:21.463781,20.15479737433925,32.13534997251597,50.1862021101765,38.358342338940574,45.47565743395423
2020-08-31 15:53:21.463781,-8.180780642532703,-1.3591315261918258,14.425728358490296,9.657912137917911,16.59204505568983
2020-09-01 15:53:21.463781,-7.97640518748951,-2.739120324861488,15.110167100229187,9.910502535433242,17.30290709648996
2020-09-02 15:53:21.463781,-11.891313962465999,-2.9396054731898436,16.182268192214977,11.606694191445023,20.719245025352564
2020-09-03 15:53:21.463781,-13.312637622041901,-4.691101168694656,16.646514563980872,17.173657975778877,20.26415579473724
2020-09-04 15:53:21.463781,-13.006832547663883,-3.8238920793135067,17.37860832392204,10.915284492776124,16.694097245915394
2020-09-07 15:53:21.463781,-15.993291224691264,-1.6059496097539316,21.375249871093516,9.353866468677552,19.737543166323192
2020-09-08 15:53:21.463781,-15.029655262497442,0.20267352102933955,23.982494990590443,5.9635958904561415,22.456194375200322
2020-09-09 15:53:21.463781,-16.543755489902445,-0.108119406286733,24.46140364012086,7.560056644999147,26.597907022238985
2020-09-10 15:53:21.463781,-17.25737418814486,2.1355413406747736,26.81076343317521,12.842211315291951,26.513635576092497
2020-09-11 15:53:21.463781,-18.734429214908978,2.373518363125049,24.1984010819603,10.136371149681423,23.832334578569213
2020-09-14 15:53:21.463781,-14.202382783245216,1.8661255621482686,25.193049069027484,-0.40502044648627056,17.05157996699547
2020-09-15 15:53:21.463781,-14.219964151448483,0.9390378835382185,29.72956029394176,-2.057184611331475,20.384982397647413
2020-09-16 15:53:21.463781,-16.924722586376028,0.49116680018088665,29.170306809293443,1.5117486710248151,22.146952877057725
2020-09-17 15:53:21.463781,-14.858113128149187,-0.08390920443896999,26.98698263220003,3.684627559608744,17.993664285375278
2020-09-18 15:53:21.463781,-17.959432708796307,0.18149224585917167,25.337195973923254,5.450112362068227,15.745875710521616
2020-09-21 15:53:21.463781,-17.428965960717967,0.43280851064528836,22.612031842901082,4.258554345100429,13.831837275157222
2020-09-22 15:53:21.463781,-22.266811409049346,0.44744059687817916,20.693737403124235,-1.0858673311830769,7.900691418696693
2020-09-23 15:53:21.463781,-25.348588870017895,1.1158251536894204,19.80541194685528,0.9430368912560549,4.791113922002288
2020-09-24 15:53:21.463781,-24.892779516159237,2.9318344443225897,16.443511502420407,-2.435654993554226,0.6116185861267054
2020-09-25 15:53:21.463781,-23.213832904752575,4.408217863744568,16.485706750973716,6.0781872608644205,-0.8610100732503234
2020-09-28 15:53:21.463781,-22.80371426710518,2.093125426600695,18.593578921787433,8.488314261398466,-3.4440182058390167
2020-09-29 15:53:21.463781,-23.05610354551143,-1.8077321221845133,16.446427516893646,5.957723209059496,-8.961726415335558
2020-09-30 15:53:21.463781,-23.73575751348511,-0.42176803027699217,19.99055354410817,3.3558878840623363,-2.5352747734435965
2020-10-01 15:53:21.463781,-27.103255452838592,-2.4534806686592914,21.222357580752927,2.9612990553448126,1.7179811179802718
2020-10-02 15:53:21.463781,-28.662905085122237,-2.772602256037271,23.72700686395799,1.9646257647348397,-1.0757723765481564
2020-10-05 15:53:21.463781,-29.634456617902195,-4.46938518511385,22.10535520710495,6.509530820691478,-0.15233955325074655
2020-10-06 15:53:21.463781,-27.38883411315016,-7.041996609928603,24.198302602553355,7.293083818682544,1.2865928534495863
2020-10-07 15:53:21.463781,-26.62579614120447,-6.277701397728752,21.49218577801777,4.142393490815843,5.48877151578695
2020-10-08 15:53:21.463781,-30.491971333557544,-5.201082668578416,23.66142268250757,12.006979959648412,2.4452964098180985
2020-10-09 15:53:21.463781,-29.802276592773424,-6.011391204133232,24.092603698275504,12.216694353669588,6.340649462405001
2020-10-12 15:53:21.463781,-30.599194030382638,-9.654919248802951,25.471896016203587,15.656538561241273,4.2801201262483435
2020-10-13 15:53:21.463781,-31.994681841182693,-10.386142222536787,22.528087928720986,12.831158006894983,-0.6163721170363567
2020-10-14 15:53:21.463781,-30.73316355856609,-9.850514810507283,20.34079040638115,14.458705161846929,1.882607299544703
2020-10-15 15:53:21.463781,-28.576887932400087,-11.841346610474911,21.78422576265362,15.871629161297296,6.464934955605339
2020-10-16 15:53:21.463781,-26.567155580567647,-11.59005929093585,19.480438424981706,7.101772317634247,16.08689658744322
2020-10-19 15:53:21.463781,-28.401252906189846,-11.601521439729678,20.593294264127216,15.724643581920517,11.18914581076027
2020-10-20 15:53:21.463781,-29.051109717676503,-10.824554283759147,17.301970892958927,21.687445926812,13.88683787870415
2020-10-21 15:53:21.463781,-28.331836754144113,-10.655682249403863,19.297686127631273,19.741929839983396,12.230576637624214
